排名,up主,视频链接,视频描述,三连量,播放量,排行分数,标签,标题,弹幕数
2602,清云Zz,http://www.bilibili.com/video/av838320640,"原版：经典老番-唐伯虎点秋香

岛市老八 秘制汉堡 美汁汁 对对子 对子之王 对穿肠 周星驰  雷霆嘎巴 欧青辣少

新人小up，觉得做得不错的，你的每一个点赞，每一个三连，每一个转发，每一个关注就是对up最大的支持！",14,1127,1127,童年恶搞大会&&老八&&对王之王&&唐伯虎点秋香&&美食家&&奥利给,对 王 之 王 老 八！,17
2603,XXPUBG,http://www.bilibili.com/video/av840620144,"BGM:Routine-Alan Walker
枪声素材@--啊K
制作不易谢谢三连
求关注！！",28,1123,1123,百万剪辑师挑战&&鬼畜调教&&洗脑循环&&蜜汁带感&&电音&&卡点&&绝地求生&&枪声音乐&&剪辑,【枪声音乐】Routine 音控踩点炸裂，确定不进来看看？,10
2604,Sakura-Vtu,http://www.bilibili.com/video/av710703292,"OxO,做妈的鬼畜实在太快乐了！！！！
虽然两分钟几乎做了两天o(╥﹏╥)o
喜欢点个赞再走叭~努力更新~",23,1123,1123,全能打卡挑战&&神楽七奈&&白雪深白&&Vtuber&&鹿乃&&神乐七奈&&对王之王&&麻将&&对子之王&&狗妈,【神楽七奈（狗妈）】对 王 之 王-kagurananach,20
2581,温柔扫地僧,http://www.bilibili.com/video/av968047062,川普混迹，借鉴大神片段，新人up，希望多多这次！,8,1159,1159,搞笑剪辑&&鬼畜调教&&鬼畜&&特朗普&&川建国&&川普&&剪辑,【壮烈牺牲】川建国竟承认自己是美国灾难！,11
2582,柒旺,http://www.bilibili.com/video/av883052669,感谢观看小号：柒望,3,1159,1159,百万剪辑师挑战&&无情哈拉少&&ZBC&&新二,ZBC!无情哈拉少!（剪辑版）,0
2583,--木子文--,http://www.bilibili.com/video/av625840261,"素材来源：HatelyR拾弎
这期....应该没毁歌
点个赞再走呗？谢谢老板们了！",87,1159,1159,百万剪辑师挑战&&鬼畜调教&&自制&&洗脑循环&&蜜汁带感&&剪辑,【枪声音乐】千本樱,23
2584,_薜荔薜荔_,http://www.bilibili.com/video/av795511278,"JOJO，Pr的能力是有极限的，我从这短暂的Pr使用过程中学到了一件事，越是想把脸贴准，反而越容易贴歪，除非超越Pr。
什么意思，你在说什么？
我不用Pr了，JOJO！我要用Ae！就用你的软件！
Pr自动贴脸插件没学会，哭了，手动打关键帧，8个视频轨道
以后研究Ae去啦，鬼畜音乐好容易上榜呀，多多鬼畜",27,1158,1158,bilibili新星计划&&JOJO的奇妙冒险&&DIO&&吉良吉影&&JOJO梗&&卡兹&&托比欧&&黑人抬棺&&鬼畜&&调音,荒木庄成员演唱黑人抬棺,15
2585,YouTube油管网官方账号,http://www.bilibili.com/video/av668058097,"无情辣少DJ版 雷霆嘎巴 #小鸟伏特加 #深井伏特加 #zbc #雷霆嘎巴 #小鸟伏特加ZBC无情哈拉少 https://v.kuaishou.com/74flTg 复制此链接，打开【快手App】直接观看！
喜欢的就三联吧",7,1157,1157,小鸟伏特加&&雷霆嘎巴&&哈拉少&&魔性&&搞笑&&鬼畜,喝小鸟伏特加的无情辣少,1
2586,会说话滴海绵,http://www.bilibili.com/video/av583310048,"BGM：Enegry Synergy Matrix
硬生生肝了合计40个小时，人差点没了，这次可以说是最用心的做了一次视频，如果觉得有丶意思的话请给个三连呗（QAQ）。
审核霸霸求求你不要限流。
如果这作能破1W（我知道我在痴心妄想），以后也会更新类似的鬼畜。
感谢大佬们的BB素材（也有部分是自制的）。
虽然说了无数遍但我还是要感谢一直没有取关还支持我的观众姥爷 谢谢你们。
这个世界太乱。
“呕血大作！耗时44小时 一秒钟爆炸抢走你的硬币！”——章鱼说要加的",139,1156,1156,鬼畜调教&&搞笑&&洗脑循环&&沙雕&&音游&&沙雕猫咪&&自制&&音mad&&哲学&&文艺复兴,【哲学】【沙雕】Energy♂Synergy♂Matrix,15
2587,落墨是个辣鸡,http://www.bilibili.com/video/av285693715,周姐现男友和女人互动的画面没找到，先整个周姐与前男友杨洋的邂逅8,4,1156,1156,周淑怡&&斗鱼,qgm给色批周淑怡刷的一个飞机,16
2588,海绵宝宝双马尾儿_,http://www.bilibili.com/video/av498328849,-,5,1154,1154,电棍&&英雄联盟&&山泥若&&LOL&&炫神&&猪猪&&溜冰&&抽象&&搞笑&&大司马,【电棍】Otto仙人模式全开怒斩大司马,3
2589,暴风少年丶,http://www.bilibili.com/video/av498167057,"^^只整龙哥的二次元
绝对不整拉跨狗叫和哦西给
大伙有想看的二次元龙哥留一下，有思路就整，^^我老宠粉了
大伙喜欢的就点个关注8",8,1152,1152,炫神&&搞笑&&鬼畜调教&&炫狗&&英雄联盟&&电棍&&OTTO&&搞笑视频&&LOL&&电子竞技,我的炫炫物语果然有问题~,1
2590,弓妹,http://www.bilibili.com/video/av370772759,"不针对任何人,看个笑话就行...",29,1152,1152,鬼畜调教&&洗脑循环&&虎子的后半生,轮到虎子来给你洗脑啦,5
2671,柴汪已入坑,http://www.bilibili.com/video/av968360542,-,17,1049,1049,童年恶搞大会&&老八&&黑手&&奥利给&&粑粑&&吃粑粑,粑粑大战（二）黑手VS老八,8
2672,雨宮深藍,http://www.bilibili.com/video/av795739225,"视频素材来自qq音乐
新人up求各位饭友来一手点赞",3,1048,1048,搞笑&&英雄联盟&&起飞&&大司马&&芜湖大司马,【大司马惊雷】世界第一肉蛋葱鸡,10
2673,不吃辣的小明,http://www.bilibili.com/video/av968367525,"有任何问题可以加我vx：bianqiangdepeifang  
喜欢我的视频的可以点赞和关注 非常感谢",2,1047,1047,搞笑剪辑&&搞笑&&汉堡&&奥力给&&鬼畜&&小鸟伏特加&&哈拉少,雷霆嘎巴汉堡，无情哈拉少！！！,1
2674,KeyTech关键技术,http://www.bilibili.com/video/av710868748,简单明了,16,1044,1044,全能打卡挑战&&搞笑&&冬泳怪鸽&&奥利给&&巨魔战将&&冬泳怪哥&&奥里给&&鬼畜&&爱情&&你再骂,无 可 救 药,10
2675,大佬来了啊啊啊,http://www.bilibili.com/video/av328080954,-,4,1043,1043,CEO&&鬼畜&&主播&&去哪儿网&&带货&&网红,【去哪儿网CEO陈刚】首发单曲《老铁gang gang的！》,2
2676,雨宮深藍,http://www.bilibili.com/video/av413138169,"视频素材来自暴走大事件:AV59005099
新人球球点赞啥的qaqqqaq",10,1042,1042,全能打卡挑战&&搞笑&&英雄联盟&&LOL&&剑姬&&电子竞技&&人工智能&&击剑,【击剑宝】国内首个内置无双剑姬语音包的人工智能,7
2645,Mutig-,http://www.bilibili.com/video/av753122413,"在难搞的日子里也要笑出声来！！！

BGM:《你要跳舞吗》-新裤子
素材来源：网络
鬼畜区一作
侵删",12,1079,1079,搞笑剪辑&&你要跳舞吗&&新裤子&&黑人&&新宝岛&&影流之主,【全明星】《你要跳舞吗》-新裤子,4
2646,Carphoytt,http://www.bilibili.com/video/av668122123,-,2,1079,1079,bilibili新星计划&&卢本伟&&FATE&&五五开&&配音&&鬼畜配音,《fate/zero》中文配音片段曝光！疑似由卢本伟带领配音,5
2647,被选召的孩子__L,http://www.bilibili.com/video/av455687124,也不知道能不能过~一更。,22,1074,1074,全能打卡挑战&&PPAP&&神奇宝贝&&精灵宝可梦&&口袋妖怪&&宝可梦&&宠物小精灵&&POKEMON&&搞笑&&鬼畜,【PPAP】神奇宝贝杂交大师,5
2648,柚子ty,http://www.bilibili.com/video/av838348288,"制作：柚子ty
填词：柚子ty
BGM：Remember The Name",12,1073,1073,百万剪辑师挑战&&沙雕时刻&&rap&&押韵&&夏天y&&贤宝宝baby&&古诗,【贤式rap】贤宝教你背古诗,2
2649,在下豆子君,http://www.bilibili.com/video/av583125374,诸葛王朗带你穷开心~,25,1073,1073,鬼畜调教&&自制&&洗脑循环&&搞笑&&蜜汁带感&&原创&&王司徒&&鬼畜素材,【诸葛&amp;王朗】穷开心,17
2650,苏二卡酱,http://www.bilibili.com/video/av625726759,这是当年葫芦娃的未播放片段，如今得以重新见到～,26,1072,1072,bilibili新星计划&&岛市老八&&葫芦娃&&搞笑&&儿童鞋垫&&鬼畜配音,福 禄 娃 斗 老 八,17
2651,SVT-3326,http://www.bilibili.com/video/av583330479,"素材取自BV1Qa4y1i7h3
本视频仅供娱乐，没有黑她的意思，本人也是她的粉丝。
一个字一个字剪的，为了13秒做了好长时间，制作不易求点赞。",5,1070,1070,岛市老八&&秘制小汉堡&&最强大脑&&王心冉&&鬼畜,【王心冉鬼畜】模仿老八秘制小汉堡（最强大脑）,0
